65F534	9 45 2	685300	347690
62F534	98 245 52	6485300	3470690
886622	136 102 34	8939042	2254472
0DE8EA	13 232 234	911594	15394829
7CD3CE	124 211 206	8180686	13554556
FAF7B3	250 247 179	16447411	11794426
625689	98 86 137	6444681	9000546
A01073	160 16 115	10489971	7540896
37010F	55 1 15	3604751	983351
C7BAB8	199 186 184	13089464	12106439
8A282D	138 40 45	9054253	2959498
B801F8	184 1 248	12059128	16253368
A99CA0	169 156 160	11115680	10525865
FD70E7	253 112 231	16609511	15167741
FBFA5B	251 250 91	16513627	6028027
2D6458	45 100 88	2974808	5792813
211230	33 18 48	2167344	3150369
ADA494	173 164 148	11379860	9741485
491C90	73 28 144	4791440	9444425
38B330	56 179 48	3715888	3191608
E6E4A3	230 228 163	15131811	10740966
DD4E07	221 78 7	14503431	478941
FB5AFF	251 90 255	16472831	16734971
E390F3	227 144 243	14913779	15962339
03BB7F	3 187 127	244607	8370947
C65AA0	198 90 160	12999328	10508998
E8D37E	232 211 126	15258494	8311784
B69018	182 144 24	11964440	1609910
0FCAFC	15 202 252	1035004	16566799
D0F8C6	208 248 198	13695174	13039824
88CD37	136 205 55	8965431	3657096
D1FB47	209 251 71	13761351	4717521
9FE30F	159 227 15	10478351	1041311
B1E7BE	177 231 190	11659198	12511153
38E31B	56 227 27	3728155	1827640
A94777	169 71 119	11093879	7817129
F48F0D	244 143 13	16027405	888820
6AD4DD	106 212 221	7001309	14537834
39E219	57 226 25	3793433	1696313
152083	21 32 131	1384579	8593429
B3CFA3	179 207 163	11784099	10735539
798089	121 128 137	7962761	9011321
DE3A31	222 58 49	14563889	3226334
87A69B	135 166 155	8890011	10200711
0B02B9	11 2 185	721593	12124683
56C267	86 194 103	5685863	6799958
6D0FD9	109 15 217	7147481	14225261
8B8C6B	139 140 107	9145451	7048331
EE294C	238 41 76	15608140	4991470
557573	85 117 115	5600627	7566677
FCACF0	252 172 240	16559344	15772924
35E45C	53 228 92	3531868	6087733
DE85BE	222 133 190	14583230	12486110
19D422	25 212 34	1692706	2282521
0778DE	7 120 222	489694	14579719
BDB69B	189 182 155	12433051	10204861
7D0616	125 6 22	8193558	1443453
2F4B5F	47 75 95	3099487	6245167
A697AB	166 151 171	10917803	11245478
9B3041	155 48 65	10170433	4272283
F0EA68	240 234 104	15788648	6875888
5D6637	93 102 55	6121015	3630685
C6712C	198 113 44	13005100	2912710
0C393D	12 57 61	801085	4012300
5C99DD	92 153 221	6068701	14522716
ACD974	172 217 116	11327860	7657900
2C1835	44 24 53	2889781	3479596
00C71E	0 199 30	50974	2017024
41A7BE	65 167 190	4302782	12494657
51BEA8	81 190 168	5357224	11058769
B549EB	181 73 235	11880939	15419829
D08F9B	208 143 155	13668251	10194896
59B21C	89 178 28	5878300	1880665
05EBCA	5 235 202	388042	13298437
91B5F5	145 181 245	9549301	16102801
DBA259	219 162 89	14393945	5874395
D3A623	211 166 35	13870627	2336467
18DDAE	24 221 174	1629614	11459864
AA3960	170 57 96	11155808	6306218
301E51	48 30 81	3153489	5316144
42DF42	66 223 66	4382530	4382530
925388	146 83 136	9589640	8934290
7A058A	122 5 138	7996810	9045370
3247CB	50 71 203	3295179	13322034
7FB8E0	127 184 224	8370400	14727295
A33738	163 55 56	10696504	3684259
9CAE03	156 174 3	10268163	241308
67E6D6	103 230 214	6809302	14083687
109685	16 150 133	1087109	8754704
1F5C84	31 92 132	2055300	8674335
D2819B	210 129 155	13795739	10191314
937417	147 116 23	9663511	1537171
88F6FC	136 246 252	8976124	16578184
D0D665	208 214 101	13686373	6674128
C8525D	200 82 93	13128285	6116040
620F49	98 15 73	6426441	4788066
ADD12F	173 209 47	11391279	3133869
9A7917	154 121 23	10123543	1538458
5E834F	94 131 79	6193999	5210974
817E3C	129 126 60	8486460	3964545
BAFB93	186 251 147	12254099	9698234
541254	84 18 84	5509716	5509716
1FE98F	31 233 143	2091407	9431327
1EE913	30 233 19	2025747	1304862
8A4088	138 64 136	9060488	8929418
C43B0D	196 59 13	12860173	867268
F61187	246 17 135	16126343	8851958
5A644E	90 100 78	5923918	5137498
35D2FE	53 210 254	3527422	16699957
588981	88 137 129	5802369	8489304
255505	37 85 5	2446597	349477
20B414	32 180 20	2143252	1356832
B6F2A4	182 242 164	11989668	10810038
1EAE09	30 174 9	2010633	634398
C515FA	197 21 250	12916218	16389573
61FC70	97 252 112	6421616	7404641
1A0DE2	26 13 226	1707490	14814490
1A91C3	26 145 195	1741251	12816666
5D2FB3	93 47 179	6107059	11743069
989BD9	152 155 217	10001369	14261144
54B502	84 181 2	5551362	177492
51C6FB	81 198 251	5359355	16500305
815122	129 81 34	8474914	2249089
57F77A	87 247 122	5764986	8058711
B135C0	177 53 192	11613632	12596657
E24975	226 73 117	14829941	7686626
BC7826	188 120 38	12351526	2521276
4B79C9	75 121 201	4946377	13203787
B11B99	177 27 153	11606937	10034097
65A9A6	101 169 166	6662566	10922341
A89E10	168 158 16	11050512	1089192
4DDB60	77 219 96	5102432	6347597
1AB848	26 184 72	1751112	4765722
20A4B4	32 164 180	2139316	11838496
D197B4	209 151 180	13735860	11835345
E5C84E	229 200 78	15059022	5163237
88C532	136 197 50	8963378	3327368
65C1D0	101 193 208	6668752	13680997
90144C	144 20 76	9442380	4986000
81E199	129 225 153	8511897	10084737
58F203	88 242 3	5829123	258648
19BDFF	25 189 255	1687039	16760089
F54C72	245 76 114	16075890	7490805
D02E46	208 46 70	13643334	4599504
BD89E1	189 137 225	12421601	14780861
34A27A	52 162 122	3449466	8036916
684153	104 65 83	6832467	5456232
158510	21 133 16	1410320	1082645
7F19E5	127 25 229	8329701	15014271
093832	9 56 50	604210	3291145
A6649D	166 100 157	10904733	10314918
FF531B	255 83 27	16732955	1790975
620F82	98 15 130	6426498	8523618
F02090	240 32 144	15736976	9445616
6A992D	106 153 45	6986029	2988394
BC420D	188 66 13	12337677	869052
0FD63F	15 214 63	1037887	4183567
19229A	25 34 154	1647258	10101273
49A694	73 166 148	4826772	9741897
70E0A1	112 224 161	7397537	10608752
E6E28F	230 226 143	15131279	9429734
09FDF2	9 253 242	654834	15924489
D0BF35	208 191 53	13680437	3522512
A7E4E8	167 228 232	11003112	15262887
958863	149 136 99	9799779	6523029
A59872	165 152 114	10852466	7510181
77B65A	119 182 90	7845466	5944951
92B52F	146 181 47	9614639	3126674
AC6815	172 104 21	11298837	1403052
1AB932	26 185 50	1751346	3324186
DD766E	221 118 110	14513774	7239389
9E645B	158 100 91	10380379	5989534
FEEB30	254 235 48	16706352	3206142
ADD16E	173 209 110	11391342	7262637
77931C	119 147 28	7836444	1872759
5EAD50	94 173 80	6204752	5287262
CEE234	206 226 52	13558324	3465934
E32CE6	227 44 230	14888166	15084771
D94ABA	217 74 186	14240442	12208857
822254	130 34 84	8528468	5513858
EB2888	235 40 136	15411336	8923371
94687A	148 104 122	9726074	8022164
C5DF2C	197 223 44	12967724	2940869
5059A0	80 89 160	5265824	10508624
433658	67 54 88	4404824	5781059
A43DDB	164 61 219	10763739	14368164
570CF7	87 12 247	5704951	16190551
6CD4BF	108 212 191	7132351	12571756
01F6BA	1 246 186	128698	12252673
6FE964	111 233 100	7334244	6613359
2196E6	33 150 230	2201318	15111713
14D21D	20 210 29	1364509	1954324
9796C5	151 150 197	9934533	12949143
6C7622	108 118 34	7108130	2258540
191038	25 16 56	1642552	3674137
459DB8	69 157 184	4562360	12098885
4DC10D	77 193 13	5095693	901453
FA5801	250 88 1	16406529	88314
E7E5E0	231 229 224	15197664	14738919
70A90D	112 169 13	7383309	895344
153A3F	21 58 63	1391167	4143637
37DF9E	55 223 158	3661726	10411831
D88319	216 131 25	14189337	1672152
5F034F	95 3 79	6226767	5178207
4CFE5F	76 254 95	5045855	6291020
C75028	199 80 40	13062184	2642119
05FE49	5 254 73	392777	4849157
C21453	194 20 83	12719187	5444802
DB2EE7	219 46 231	14364391	15150811
D23D19	210 61 25	13778201	1654226
DE02F2	222 2 242	14549746	15860446
A07AFC	160 122 252	10517244	16546464
3CF505	60 245 5	3994885	390460
8E0BDE	142 11 222	9309150	14551950
2B1683	43 22 131	2823811	8590891
F52071	245 32 113	16064625	7414005
222AC1	34 42 193	2239169	12659234
70D66E	112 214 110	7394926	7263856
BFDCBA	191 220 186	12573882	12246207
AD6C4E	173 108 78	11365454	5139629
F3414C	243 65 76	15941964	4997619
37E61B	55 230 27	3663387	1828407
79C503	121 197 3	7980291	247161
3C318E	60 49 142	3944846	9318716
B3C1F0	179 193 240	11780592	15778227
0F4518	15 69 24	1000728	1590543
15F0B1	21 240 177	1437873	11661333
C2B88B	194 184 139	12761227	9156802
CC8FD0	204 143 208	13406160	13668300
D93AB3	217 58 179	14236339	11746009
BB2F03	187 47 3	12267267	208827
828823	130 136 35	8554531	2328706
AE667F	174 102 127	11429503	8349358
23BA28	35 186 40	2341416	2669091
A01EBD	160 30 189	10493629	12394144
168369	22 131 105	1475433	6914838
7FCF8E	127 207 142	8376206	9359231
32DA84	50 218 132	3332740	8706610
9A845B	154 132 91	10126427	5997722
DFCFD7	223 207 215	14667735	14143455
CFE524	207 229 36	13624612	2418127
FA4B9C	250 75 156	16403356	10243066
ADE877	173 232 119	11397239	7858349
C12567	193 37 103	12658023	6759873
037C35	3 124 53	228405	3505155
4F4257	79 66 87	5194327	5718607
741B0B	116 27 11	7609099	727924
7B8630	123 134 48	8095280	3180155
E01057	224 16 87	14684247	5705952
86BF3E	134 191 62	8830782	4112262
47E8A3	71 232 163	4712611	10741831
0181D8	1 129 216	98776	14188801
C434B7	196 52 183	12858551	12006596
59769C	89 118 156	5863068	10253913
E22916	226 41 22	14821654	1452514
86D6F8	134 214 248	8836856	16307846
AF9207	175 146 7	11506183	496303
BDCF17	189 207 23	12439319	1560509
670DEA	103 13 234	6753770	15338855
ACCD6E	172 205 110	11324782	7261612
3F5055	63 80 85	4149333	5591103
8F4225	143 66 37	9388581	2441871
AD26C4	173 38 196	11347652	12854957
D3BE09	211 190 9	13876745	638675
8A657C	138 101 124	9069948	8152458
3BC9B1	59 201 177	3918257	11651387
E41373	228 19 115	14947187	7541732
811B7E	129 27 126	8461182	8264577
F51B32	245 27 50	16063282	3283957
4BDB05	75 219 5	4971269	383819
8404EB	132 4 235	8652011	15402116
5C07F8	92 7 248	6031352	16254812
B89C31	184 156 49	12098609	3251384
A36CE9	163 108 233	10710249	15297699
E35BF5	227 91 245	14900213	16079843
07A1B8	7 161 184	500152	12099847
D15D95	209 93 149	13720981	9788881
54DF01	84 223 1	5562113	122708
0B5673	11 86 115	743027	7558667
067527	6 117 39	423207	2585862
B3E64A	179 230 74	11789898	4908723
F1B4F4	241 180 244	15840500	16037105
949749	148 151 73	9738057	4822932
845DBC	132 93 188	8674748	12344708
1C3915	28 57 21	1849621	1390876
0D8F3D	13 143 61	888637	4034317
93E57D	147 229 125	9692541	8250771
A12387	161 35 135	10560391	8856481
D1C2F7	209 194 247	13746935	16237265
F142A6	241 66 166	15811238	10896113
8B31B7	139 49 183	9122231	12005771
E4ACA2	228 172 162	14986402	10661092
A53D8C	165 61 140	10829196	9190821
46E09E	70 224 158	4645022	10412102
88FCBA	136 252 186	8977594	12254344
246651	36 102 81	2385489	5334564
D36801	211 104 1	13854721	92371
AB6E9F	171 110 159	11234975	10448555
BD5AEE	189 90 238	12409582	15620797
877843	135 120 67	8878147	4421767
2779DC	39 121 220	2587100	14448935
